gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
887045354	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3507dc151-ba17-446a-b1f4-f358f09149d1	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	PH		bc092ff0-02e4-11dc-991f-b8a03c50a862													4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	283836.7179488	252		CC_BY_NC_4_0		Collector Unknown			2016-08-04T02:00Z		
887045358	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/39c886b4d-8d99-4b75-8acc-75e46796a241	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	PH	Zamboanga	bc092ff0-02e4-11dc-991f-b8a03c50a862									1906-07-03T01:00Z	3	7	1906	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	144920.7179471	No Number		CC_BY_NC_4_0		E. Mearns			2016-08-04T02:00Z		
887045362	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/375e4507d-cd8c-4d13-8bb5-9b6e3cc3562d	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1966-02-06T01:00Z	6	2	1966	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	362205.7179786	5868/4244		CC_BY_NC_4_0		M. Thompson			2016-08-04T02:00Z		
887045411	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3565992e3-74c3-4d2e-a828-78d04e3f2402	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843			bc092ff0-02e4-11dc-991f-b8a03c50a862									1964-11-19T01:00Z	19	11	1964	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	361416.7179796	180		CC_BY_NC_4_0		R. Merrill			2016-08-04T02:00Z		COUNTRY_INVALID
887045442	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3ced32645-af62-4024-97bf-e0e94739eabe	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	NC	Mount D'or	bc092ff0-02e4-11dc-991f-b8a03c50a862									1944-07-20T02:00Z	20	7	1944	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	276817.7179938	257/329		CC_BY_NC_4_0		A. Nicholson			2016-08-04T02:00Z		
887045446	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/328a4889c-f72f-49af-be13-abc5b7c87eff	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	US	Hamakua District	bc092ff0-02e4-11dc-991f-b8a03c50a862									1961-12-07T01:00Z	7	12	1961	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	324878.7179887	2729		CC_BY_NC_4_0		P. Tomich			2016-08-04T02:00Z		
887045488	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3e73043e4-78e5-4040-811a-3e605779b530	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	NC		bc092ff0-02e4-11dc-991f-b8a03c50a862									1944-02-04T01:00Z	4	2	1944	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	271538.7179914	C62		CC_BY_NC_4_0		W. Crabb			2016-08-04T02:00Z		
887045496	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/388dbeee9-ace7-4171-831e-e558b1d9cf4b	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	GU	Sinajanja	bc092ff0-02e4-11dc-991f-b8a03c50a862									1945-03-10T01:00Z	10	3	1945	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	277486.7179953	78/3378		CC_BY_NC_4_0		W. Crabb			2016-08-04T02:00Z		
887045556	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/38089af53-f6ef-4a9e-b557-caaf39af84b5	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	FM	Colonia	bc092ff0-02e4-11dc-991f-b8a03c50a862									1955-10-10T01:00Z	10	10	1955	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	302924.7180040	4937		CC_BY_NC_4_0		J. Marshall, P. Marshall & M. Terpstra			2016-08-04T02:00Z		
887045610	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/348cc2846-9347-4b0b-8d5d-a8598b66f0f5	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843			bc092ff0-02e4-11dc-991f-b8a03c50a862									1981-01-13T01:00Z	13	1	1981	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	556151.7182110	RDS-L 2268		CC_BY_NC_4_0		R. Sage			2016-08-04T02:00Z		COUNTRY_INVALID
